UA,Lat,Long,anom_lst_mean,anom_ndvi_mean,anom_prec_mean,anom_rad_mean,anom_umid_mean
337,-27.54037,-50.039551,0.6753588588588535,0.035530227743271525,0.05579439999999991,0.34342051863979073,-0.6884543816698994
340,-27.54012,-49.770614,0.6429694534287123,0.009759627329192333,-0.1656051000000005,0.3622650948569266,-0.560988401300591
341,-27.539356,-49.679474,1.1549737357676548,-0.0018060041407866878,-0.1971097000000004,0.368844428361772,-0.6109385738623416
344,-27.539965,-49.410023,0.8847987913903204,-0.005512629399586189,-0.04672199999999993,0.3923330422747604,-0.7403922955142974
345,-27.537368,-49.316716,1.3352790762902167,-0.0012743271221534735,-0.2621330999999998,0.40731442790087335,-0.6560204461476644
346,-27.539087,-49.22781,0.7627611457516252,0.010773498964803285,-0.2621330999999998,0.40731442790087335,-0.6560204461476644
347,-27.539971,-49.140033,0.8655224621867923,0.004126501035196628,-0.30260640000000016,0.4178787459791842,-0.5940838776108421
348,-27.539973,-49.049974,0.8198655596824374,0.019420289855072603,-0.4830427000000004,0.4239543527191696,-0.5782399548594981
349,-27.540035,-48.959997,0.6344701027768416,0.00943188405797113,-0.5084819999999999,0.43078197133344354,-0.5806747268635064
350,-27.539364,-48.870149,0.7125807183184278,0.01934927536231912,-0.6680770000000003,0.43423081795591756,-0.6780201120333089
351,-27.540037,-48.779994,0.9010194552529072,0.0006853002070396075,-0.7469248999999998,0.4309269934656541,-0.7409748885709462
352,-27.540205,-48.689569,0.7651169811320493,0.006141200828157167,-0.8664883999999997,0.43026324459435195,-0.6336464830098834
365,-27.449703,-50.940719,0.5824412837823054,0.02292049689440967,0.33320229999999995,0.4224036986406645,-1.0533969744887202
367,-27.450758,-50.761771,0.24797216451086967,0.034922153209110074,0.3571863000000004,0.4095557582500913,-0.9608556312144287
369,-27.450483,-50.580326,0.6861572042296977,0.02852443064182142,0.3716552000000002,0.38004532858044016,-0.9012537633135338
