system:index,Lat,Long,UA,altitude,ciclo,lst_max,lst_mean,lst_min,lst_sd,ndvi_max,ndvi_mean,ndvi_min,ndvi_sd,prec_max,prec_mean,prec_min,prec_sd,.geo
1_2_00000000000000000027_0,-28.169917,-50.130437,134,1045,ciclo1,26.783333333333363,21.791430555555582,12.93500000000003,4.452051893045078,0.7711833333333334,0.68132,0.5850166666666666,0.060024377624922486,731.529748916626,442.87508487701416,282.488347530365,118.81042080971477,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.1304844302899,-28.166675733567597]}"
1_2_00000000000000000028_0,-28.169123,-49.86203,137,1381,ciclo1,25.000000000000025,19.83249494949498,12.033333333333369,4.065307686009785,0.7660666666666667,0.7069555555555556,0.6460333333333333,0.04603103991658626,688.7496404647827,443.2004660964012,259.79590225219727,120.28759794958798,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.86098984505404,-28.166675733567597]}"
1_2_00000000000000000029_0,-28.169105,-49.68004,139,1436,ciclo1,23.7566666666667,18.841842592592624,12.033333333333365,3.854798445104931,0.78835,0.7268665277777778,0.6557250000000001,0.0421456841759214,687.2232284545898,439.1340650518735,251.16298818588257,128.12386442202103,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.68132678823014,-28.166675733567597]}"
1_2_0000000000000000002a_0,-28.170285,-49.590092,140,1612,ciclo1,25.90500000000003,20.439710437710463,13.27333333333336,4.326589439364981,0.7780833333333333,0.6616291666666668,0.5468333333333334,0.0758255799226201,680.5339765548706,430.0490040381749,245.8366813659668,128.63759332382529,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.59149525981819,-28.166675733567597]}"
1_2_0000000000000000002b_0,-28.172088,-49.495816,141,941,ciclo1,23.898571428571454,18.838501322751352,12.805000000000035,3.7955837182077916,0.8883666666666667,0.8079122222222223,0.6453166666666666,0.08090619445145865,650.4914042949677,429.5746447443962,232.74056386947632,131.23865261356156,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.492680578565036,-28.175658886408794]}"
1_2_0000000000000000002d_0,-28.170117,-49.32228,143,334,ciclo1,27.98555555555558,22.98897306397309,15.985000000000033,4.157043729005392,0.8649166666666668,0.8230427777777778,0.7436999999999999,0.034763579676346495,678.6864094734192,434.3556187748909,195.29576921463013,141.13703928293427,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.32200067458233,-28.166675733567597]}"
1_2_0000000000000000002e_0,-28.169306,-49.049919,146,261,ciclo1,29.166000000000036,23.573158249158272,16.65500000000003,4.160387060068065,0.8251333333333334,0.7529280555555555,0.6,0.05663492363306409,729.0908327102661,444.30259187022847,183.61848664283752,158.13646232484018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.05250608934647,-28.166675733567597]}"
1_2_0000000000000000002f_0,-28.168458,-48.958318,147,75,ciclo1,29.959090909090943,24.485466329966357,17.261666666666695,4.415194139677093,0.8169666666666666,0.7675047222222223,0.68645,0.03914755567929168,723.5626621246338,442.39721821745235,173.0298581123352,159.35707628698617,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.96267456093452,-28.166675733567597]}"
1_2_00000000000000000030_0,-28.16948,-48.870237,148,625,ciclo1,26.376000000000033,21.33611111111114,15.233333333333363,3.7945879298896594,0.8961666666666668,0.8548712500000001,0.618375,0.07304960782439895,692.9831485748291,442.678107013305,181.10211181640625,152.53764408653151,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.87284303252257,-28.166675733567597]}"
1_2_00000000000000000031_0,-28.082521,-49.591097,165,1491,ciclo1,22.370000000000033,17.86691835016838,11.771666666666704,3.690918597114529,0.8173166666666668,0.7555330555555555,0.5503800000000001,0.06926906637456977,656.0988893508911,426.28007976214093,241.88726139068604,124.12550849570476,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.59149525981819,-28.08582735799684]}"
1_2_00000000000000000032_0,-28.082899,-49.498262,166,1508,ciclo1,23.37857142857145,17.67333676046179,11.508333333333363,3.853690431856792,0.8232499999999999,0.758523888888889,0.64922,0.05917910033413847,636.1921458244324,423.4340617656708,239.556218624115,123.62195987844827,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.50166373140623,-28.08582735799684]}"
1_2_00000000000000000033_0,-28.080325,-49.40999,167,1121,ciclo1,23.804545454545487,18.988314393939422,12.493333333333359,3.794657349226424,0.8194833333333333,0.7556920833333333,0.6792333333333334,0.0475170720252671,638.1709592342377,428.4375942150752,234.58590936660767,128.72625705072568,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.41183220299428,-28.076844205155645]}"
1_2_00000000000000000034_0,-28.080499,-49.136915,170,301,ciclo1,28.88166666666669,23.684905723905757,16.861666666666697,4.014116182178871,0.7966000000000001,0.7367336111111111,0.5847,0.056176053542319165,783.60706615448,461.0826692183812,186.54088759422302,164.54592755279464,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.13335446491723,-28.076844205155645]}"
1_2_00000000000000000035_0,-28.080691,-48.960733,172,288,ciclo1,29.01666666666669,23.82229924242427,17.1466666666667,4.134927954661428,0.8409333333333334,0.7812298611111111,0.662075,0.04954516428387088,751.3873910903931,453.79715448617935,177.01136302947998,162.225277123669,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.96267456093452,-28.076844205155645]}"
1_2_00000000000000000036_0,-28.079961,-48.869911,173,585,ciclo1,26.408181818181856,21.548093073593105,15.465000000000032,3.6856261951768885,0.8643333333333333,0.82304875,0.665325,0.05443897333816457,739.468770980835,463.26926028728485,181.7549023628235,161.68661341160288,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.87284303252257,-28.076844205155645]}"
1_2_00000000000000000037_0,-28.079979,-48.780013,174,194,ciclo1,28.107777777777798,23.298417087542116,17.038333333333366,3.8831806754942324,0.8921999999999999,0.8591061111111111,0.69915,0.050624562034382266,713.3285274505615,453.27247373263043,178.8572015762329,156.51493189184654,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.78301150411062,-28.076844205155645]}"
1_2_00000000000000000038_0,-28.080009,-48.690006,175,155,ciclo1,29.296666666666695,24.595872294372317,18.541666666666696,3.6782350488996256,0.8519166666666668,0.8045130555555556,0.6121500000000001,0.06314810607491471,727.9641132354736,454.5459297001362,176.99178624153137,160.20610341441608,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.69317997569866,-28.076844205155645]}"
1_2_00000000000000000039_0,-27.990802,-50.758215,177,856,ciclo1,25.423333333333357,20.229097763347795,12.565000000000035,4.409602983274897,0.8558333333333333,0.7985280555555555,0.7367,0.0425522913701342,738.4308910369873,434.3265977501869,291.4890580177307,117.91509194028914,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.75930512917356,-27.987012676743692]}"
1_2_0000000000000000003a_0,-27.990133,-49.767671,188,1286,ciclo1,22.19666666666669,17.885944023569053,11.601666666666702,3.575796786179724,0.8414166666666668,0.7764519444444443,0.6116400000000001,0.058168338442362626,688.2546644210815,438.4895449876785,270.43043661117554,123.63686307144226,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.771158316642094,-27.987012676743692]}"
1_2_0000000000000000003b_0,-28.012936,-49.491881,191,1003,ciclo1,25.73727272727276,19.794150673400708,11.931666666666695,4.502355121120219,0.8330500000000001,0.7891669444444444,0.7342000000000001,0.032367587967732016,615.7801821231842,431.9088036417961,237.40637969970703,121.01074185592488,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.492680578565036,-28.013962135267278]}"
1_2_0000000000000000003c_0,-27.992173,-49.41219,192,1484,ciclo1,22.696000000000033,17.76609511784515,11.108333333333368,3.850732832267098,0.8391500000000001,0.7699545833333333,0.659375,0.052098431807658274,633.7237913608551,427.70730996131897,243.51903104782104,123.55447421766203,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.41183220299428,-27.99599582958489]}"
1_2_0000000000000000003d_0,-27.988858,-49.320053,193,1513,ciclo1,24.52400000000004,19.098828703703735,12.326666666666696,3.995092701831027,0.7979166666666667,0.7136533333333333,0.548,0.06573650257178723,631.9362268447876,430.4683807293574,235.50126934051514,130.3353490698088,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.32200067458233,-27.987012676743692]}"
1_2_0000000000000000003e_0,-27.98959,-49.230917,194,617,ciclo1,25.77800000000003,21.211627104377133,14.883333333333363,3.606915436149283,0.8833833333333333,0.8427048611111111,0.7656666666666666,0.03067998172184964,702.4249610900879,449.9636384546757,202.87702131271362,144.59869739763585,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.23216914617038,-27.987012676743692]}"
1_2_0000000000000000003f_0,-27.98904,-49.048792,196,780,ciclo1,26.06800000000003,20.83473106060609,14.740000000000032,3.771655278352654,0.8511333333333334,0.7898240277777777,0.636575,0.055289829440541324,761.3635959625244,462.9655800263087,195.15897631645203,159.56121479642184,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.05250608934647,-27.987012676743692]}"
1_2_00000000000000000040_0,-27.993877,-48.9599,197,354,ciclo1,26.77200000000003,22.268526515151546,16.110000000000024,3.7137732067394533,0.8640333333333333,0.8086605555555556,0.6529,0.05510963444762195,766.4690523147583,460.84516627093154,192.7592692375183,161.2821349887976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.96267456093452,-27.99599582958489]}"
1_2_00000000000000000041_0,-27.990081,-48.869688,198,675,ciclo1,25.960909090909123,21.142015151515178,14.876666666666688,3.8458045118887547,0.8818333333333334,0.8457734722222222,0.6613249999999999,0.05764205194985686,767.8454570770264,462.74884182214737,194.21855425834656,165.81736906942862,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.87284303252257,-27.987012676743692]}"
