system:index,Lat,Long,UA,ciclo,lst_max,lst_mean,lst_min,lst_sd,ndvi_max,ndvi_mean,ndvi_min,ndvi_sd,prec_max,prec_mean,prec_min,prec_sd,rad_mean,rad_sd,umid_mean,umid_sd,.geo
1_1_0000000000000000002f_0,-28.168458,-48.958318,147,ciclo1,37.01000000000005,23.73407643312106,9.430000000000007,5.373189908665297,0.8276,0.7548391304347829,0.45830000000000004,0.05592555408079216,110.91341,4.848189,0.0,12.717314105514935,13.06214615531516,5.461658906915516,81.0178345487881,6.974080530335534,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.98064086661691,-28.184642039249987]}"
1_1_00000000000000000030_0,-28.16948,-48.870237,148,ciclo1,36.05000000000001,21.7841666666667,6.050000000000011,4.952675885656435,0.9016000000000001,0.8566826086956519,0.322,0.0733451972416213,108.76218,4.851267,0.0,12.40485581044172,13.43847172426492,5.6090564697670455,81.79365392197613,7.052837244936954,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.89080933820495,-28.184642039249987]}"
1_1_00000000000000000031_0,-28.082521,-49.591097,165,ciclo1,29.350000000000023,17.36150743099791,4.2900000000000205,4.772736005720947,0.8459,0.7555478260869565,0.2424,0.07872092075706051,124.79058,4.740864,0.0,11.340291754182532,13.154637148922445,5.630988732487278,83.86531526828998,8.647148573482571,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.609461565500574,-28.094810510838034]}"
1_1_00000000000000000032_0,-28.082899,-49.498262,166,ciclo1,28.83000000000004,16.960814479638035,4.03000000000003,4.871286056413674,0.8454,0.7552797101449277,0.2523,0.0959567649920623,132.22527,4.640373,0.0,11.489133005570185,13.10549110691332,5.603364066906233,83.88338603661374,7.901188133649987,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.51963003708862,-28.094810510838034]}"
1_1_00000000000000000033_0,-28.080325,-49.40999,167,ciclo1,29.190000000000055,17.461908045977047,6.150000000000034,4.6789625326934345,0.8493,0.7681724637681162,0.30920000000000003,0.08918492087410736,92.01438,4.6952066,0.0,11.277450592856837,13.000361057598267,5.593329449685599,84.02089704867964,7.603357685659495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.42979850867667,-28.094810510838034]}"
1_1_00000000000000000034_0,-28.080499,-49.136915,170,ciclo1,36.31,22.60531645569623,8.850000000000023,4.995842913747701,0.8539,0.7851434782608697,0.2609,0.07466708231948233,129.28476,5.052961,0.0,13.090965120628715,12.845752695954433,5.413766946668018,82.64356649054233,7.1253819373868765,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.11538815923483,-28.094810510838034]}"
1_1_00000000000000000035_0,-28.080691,-48.960733,172,ciclo1,36.79000000000002,23.105655913978506,8.450000000000045,5.1418001167631155,0.8436,0.7764478260869564,0.43310000000000004,0.05698627246010552,145.40948,4.9731197,0.0,13.159413692093766,12.99388893339734,5.444776438656807,82.52330081655316,6.862867167249845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.98064086661691,-28.094810510838034]}"
1_1_00000000000000000036_0,-28.079961,-48.869911,173,ciclo1,34.09000000000003,20.84952173913045,8.410000000000025,4.928318589447445,0.8976000000000001,0.8398579710144926,0.2462,0.08017300569556086,102.89547,5.0769234,0.0,12.894088823354124,13.211981152575449,5.520032718599147,82.9609057783997,6.901825373531025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.89080933820495,-28.094810510838034]}"
1_1_00000000000000000037_0,-28.079979,-48.780013,174,ciclo1,36.59000000000003,22.59570806100219,7.53000000000003,4.751411267217405,0.8675,0.7953333333333331,0.2581,0.07411686359121766,118.08362,4.9653087,0.0,12.46265561710836,13.250125313306025,5.516107919782003,83.10523349834952,6.7485952822648025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.800977809793004,-28.094810510838034]}"
1_1_00000000000000000038_0,-28.080009,-48.690006,175,ciclo1,36.23000000000002,23.156987447698782,7.970000000000027,4.616890280455725,0.8589,0.7868942028985508,0.1792,0.08039178861387704,110.23064,4.96107,0.0,12.781328028370432,13.416260146182735,5.57884094608376,82.77203548043573,6.5677500664764965,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.711146281381055,-28.094810510838034]}"
