UA,anom_lst_max,anom_lst_mean,anom_lst_min,anom_lst_sd,anom_ndvi_max,anom_ndvi_mean,anom_ndvi_min,anom_ndvi_sd,anom_prec_max,anom_prec_mean,anom_prec_min,anom_prec_sd,anom_rad_mean,anom_rad_sd,anom_umid_mean,anom_umid_sd,cycle_lst_max_cycle1,cycle_lst_max_cycle2,cycle_lst_mean_cycle1,cycle_lst_mean_cycle2,cycle_lst_min_cycle1,cycle_lst_min_cycle2,cycle_lst_sd_cycle1,cycle_lst_sd_cycle2,cycle_ndvi_max_cycle1,cycle_ndvi_max_cycle2,cycle_ndvi_mean_cycle1,cycle_ndvi_mean_cycle2,cycle_ndvi_min_cycle1,cycle_ndvi_min_cycle2,cycle_ndvi_sd_cycle1,cycle_ndvi_sd_cycle2,cycle_prec_max_cycle1,cycle_prec_max_cycle2,cycle_prec_mean_cycle1,cycle_prec_mean_cycle2,cycle_prec_min_cycle1,cycle_prec_min_cycle2,cycle_prec_sd_cycle1,cycle_prec_sd_cycle2,cycle_rad_mean_cycle1,cycle_rad_mean_cycle2,cycle_rad_sd_cycle1,cycle_rad_sd_cycle2,cycle_umid_mean_cycle1,cycle_umid_mean_cycle2,cycle_umid_sd_cycle1,cycle_umid_sd_cycle2,monthly_lst_max_cycle1,monthly_lst_max_cycle2,monthly_lst_mean_cycle1,monthly_lst_mean_cycle2,monthly_lst_min_cycle1,monthly_lst_min_cycle2,monthly_lst_sd_cycle1,monthly_lst_sd_cycle2,monthly_ndvi_max_cycle1,monthly_ndvi_max_cycle2,monthly_ndvi_mean_cycle1,monthly_ndvi_mean_cycle2,monthly_ndvi_min_cycle1,monthly_ndvi_min_cycle2,monthly_ndvi_sd_cycle1,monthly_ndvi_sd_cycle2,monthly_prec_max_cycle1,monthly_prec_max_cycle2,monthly_prec_mean_cycle1,monthly_prec_mean_cycle2,monthly_prec_min_cycle1,monthly_prec_min_cycle2,monthly_prec_sd_cycle1,monthly_prec_sd_cycle2
579,1.6200000000000045,0.8329378329063246,-0.11999999999994593,-0.014162045612112983,0.024399999999999977,0.005978260869564989,-0.10930000000000001,-0.0025274738917308026,-12.785674,-0.1689020000000001,0.0,-1.5492725688049749,0.44270126626988393,0.20905072182307727,-0.4745040780407095,0.013988575490381017,31.870000000000005,33.49000000000001,19.619198813056435,20.45213664596276,7.370000000000003,7.250000000000057,4.754175139517681,4.740013093905568,0.8825000000000001,0.9069,0.788204347826087,0.7941826086956519,0.1809,0.0716,0.1321794196030672,0.1296519457113364,92.94567,80.159996,4.543211,4.374309,0.0,0.0,10.817103754807883,9.267831186002908,12.347689139790036,12.79039040605992,5.383796723029492,5.592847444852569,85.75110583725588,85.27660175921517,6.827764729416366,6.841753304906747,26.650000000000038,27.57000000000003,21.492666245791277,22.11947407916161,15.92166666666669,16.691481481481517,3.700434855485517,3.5519722937453437,0.8835000000000002,0.8562214285714287,0.8084854166666666,0.7898013558201059,0.6188,0.5846888888888889,0.0673480041193068,0.0746087103045936,639.2164731025696,1594.2482833862305,420.11013046900433,937.1405881213044,230.00923204422,518.2006309092976,122.90041083670005,288.9375819214232
582,1.2800000000000296,0.9040531452855731,1.2200000000000273,0.06923880756311274,0.01860000000000006,0.007539751552795182,-0.043999999999999984,-0.006419000357038809,-12.187389999999994,-0.25175700000000045,0.0,-1.3114694609413373,0.3967598357191555,0.17441855623697666,-0.7882362367593743,0.23631815707048798,32.99000000000001,34.27000000000004,21.565306122449023,22.469359267734596,7.930000000000007,9.150000000000034,4.640498566652602,4.709737374215715,0.878,0.8966000000000001,0.8126652173913044,0.8202049689440996,0.509,0.465,0.0740720151464181,0.0676530147893793,125.24775,113.06036,4.962308,4.710551,0.0,0.0,11.95579094400948,10.644321483068143,12.308194294127938,12.704954129847094,5.270280018863743,5.44469857510072,83.84405845947134,83.05582222271197,6.739471114383479,6.975789271453967,26.792222222222254,27.59666666666669,21.818212962962992,22.379049957994727,16.008333333333365,16.81538461538465,3.681790266038581,3.547555795878406,0.8898666666666667,0.8837642857142857,0.8467245833333333,0.8422310185185187,0.7136199999999999,0.7495333333333334,0.0492999596626931,0.0385065438486908,664.6348490715027,1684.9653434753418,432.1919957796733,969.175781111768,201.84949564933777,479.6891424721107,132.5580728028642,315.0882104849698
584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.81888888888892,30.060000000000016,23.980717171717203,24.641879966918435,17.948333333333363,18.58714285714289,3.7986064387047502,3.7912880564080575,0.7698585294117647,0.767248752672844,0.6322596894439817,0.6753127171712405,0.5193548780487806,0.5517712513681137,0.0824111080220476,0.0685163807579882,627.7332444190979,1626.4567160606384,398.091062972943,891.6466017063527,178.911926984787,390.62678753212094,130.6811970804853,322.7467250376767
597,2.0400000000000205,0.1701395977729021,1.6200000000000045,0.12756057602905368,0.0039999999999998925,0.011223395445134177,-0.013900000000000023,-0.0009056171334685045,38.005566,0.5745309999999995,0.0,-0.17821420099765994,0.16300198314558934,0.015742911126345405,-0.9985876048097992,1.3191370690864463,37.47000000000003,39.51000000000005,25.062759856630837,25.23289945440374,5.410000000000025,7.03000000000003,5.737435446388227,5.864996022417281,0.8318000000000001,0.8358,0.6843884057971016,0.6956118012422358,0.5579000000000001,0.544,0.0585255265408061,0.0576199094073376,83.981674,121.98724,5.244854,5.819385,0.0,0.0,12.017362991604855,11.839148790607195,14.45742080554346,14.62042278868905,6.042470374952725,6.05821328607907,76.42312383032404,75.42453622551425,8.703904795201668,10.023041864288114,30.668333333333365,30.072307692307717,24.919588383838416,25.1876151833942,16.991666666666692,17.050000000000033,4.538675562846238,4.510709074532596,0.7254166666666667,0.6990857142857142,0.6781625000000001,0.6613868716931216,0.61375,0.6084571428571428,0.0345824184115883,0.0281771706480973,722.2536525726318,1667.2355287075045,479.95543519655865,1226.5448675128089,287.87310886383057,872.0469945874065,133.1256124105593,246.8589823080622
602,2.0600000000000023,0.4114026263716539,-1.6800000000000068,0.1578017996511738,0.04139999999999999,0.01573457556935831,-0.22290000000000004,0.016793595944793897,38.575540000000004,0.43374489999999977,0.0,-0.3065781804629566,0.20074156121276765,0.05677163794216966,-1.0867551876822716,1.0327640031313887,33.450000000000045,35.51000000000005,22.576495412844054,22.987898039215708,6.650000000000034,4.970000000000027,5.215941655242775,5.3737434548939484,0.8306,0.872,0.7709579710144928,0.7866925465838511,0.6972,0.4743,0.0320708337667095,0.0488644297115034,87.90023,126.47577,5.8019795,6.2357244,0.0,0.0,13.243079932375682,12.936501751912726,14.536243932484116,14.736985493696883,5.919692109666754,5.976463747608924,76.93971132384496,75.85295613616269,9.108595835608064,10.141359838739453,27.006363636363663,26.936666666666696,22.219530303030336,22.638749169965863,15.510000000000034,16.007777777777804,3.60173296965227,3.801336654419078,0.8350666666666667,0.8501642857142858,0.7790347222222223,0.8163950066137566,0.7304666666666666,0.7842714285714285,0.0342606191015176,0.019910617120566,769.9012217521667,1923.5970854759216,534.1395064592361,1344.897088557459,371.08189868927,929.1534846931607,123.04863849921357,306.587050667199
605,1.740000000000009,0.5504839353631787,-3.659999999999968,0.16160050794008285,0.03499999999999992,0.017614492753623368,-0.1761000000000001,0.012121294734301,19.90921,0.13759760000000032,0.0,-0.6423602171806735,0.240374056022711,0.07301793536329981,-1.311518492708231,0.9035504515722526,32.35000000000002,34.09000000000003,21.56250457038393,22.112988505747108,6.050000000000011,2.390000000000043,4.968153068840299,5.129753576780382,0.8552000000000001,0.8902,0.7789550724637684,0.7965695652173918,0.6466000000000001,0.4705,0.043910869989732,0.056032164724033,71.34417,91.25338,5.5505824,5.68818,0.0,0.0,12.551675448492842,11.909315231312169,14.53226386490419,14.7726379209269,5.82872999611053,5.90174793147383,77.59899922786225,76.28748073515402,9.746538832850211,10.650089284422464,26.390000000000036,26.882173913043506,21.66365404040407,22.72697264042992,14.545000000000035,15.49285714285717,3.814123147950879,3.941977418228962,0.8120666666666666,0.8230999999999999,0.7308224999999999,0.7419402777777778,0.6832166666666667,0.700192857142857,0.0411853013857087,0.0401603896363901,667.982816696167,1804.4568147659304,499.7243595123291,1201.0486989393503,322.10723209381104,770.4934832453728,121.89533214351285,303.8142827958187
615,1.1599999999999682,0.6222256027343533,1.5600000000000023,0.32670150903162387,0.033399999999999985,0.016935817805383557,0.015199999999999991,-0.014799697001630599,27.500829999999993,0.15044019999999936,0.0,-0.22352888774364033,0.46392974400263753,0.14671595316957298,-1.1670533595778636,0.7144881902341869,35.150000000000034,36.31,22.747409766454364,23.369635369188718,4.090000000000032,5.650000000000034,5.181042128469477,5.507743637501101,0.8321000000000001,0.8655,0.6950057971014492,0.7119416149068327,0.3751,0.3903,0.0863894734664717,0.0715897764648411,73.98277,101.4836,4.8932285,5.0436687,0.0,0.0,11.193628204439888,10.970099316696247,13.614166721525203,14.07809646552784,5.600094566146421,5.746810519315994,80.13685843413916,78.9698050745613,8.536439407530006,9.250927597764193,28.07200000000003,28.812727272727308,22.75121338383841,23.340775044935608,15.604545454545484,16.074000000000026,3.993679204255807,4.081312456570807,0.8081666666666667,0.8100142857142859,0.7314247222222222,0.7319731481481483,0.6710833333333334,0.6901071428571429,0.0475682492234279,0.0408804430618103,637.6264705657959,1576.3262915611267,441.8033332427343,1086.6927927388654,310.84773802757263,542.9895006120205,104.11816864115691,298.4552150583104
619,-1.5600000000000023,0.691157926073803,0.839999999999975,0.007313935079535483,0.03920000000000001,0.023058799171842725,-0.07379999999999998,-0.007111329648523498,-9.742525,0.4726889999999999,0.0,0.20914928593441395,0.4524892069648594,0.14892023489711637,-1.1680439202184942,0.5691386595214887,35.49000000000001,33.93000000000001,21.052648401826517,21.74380632790032,5.010000000000048,5.850000000000023,5.474811922679003,5.482125857758539,0.8314,0.8706,0.7195971014492751,0.7426559006211179,0.4612,0.3874,0.0709324274712263,0.0638210978227028,92.82625,83.083725,4.539949,5.012638,0.0,0.0,10.731105441109262,10.940254727043676,13.28628939001836,13.73877859698322,5.56525487209408,5.714175106991196,81.08084416785577,79.91280024763728,8.715299073042857,9.284437732564346,25.030000000000022,26.662800000000026,20.4809671717172,21.5138761389845,14.17833333333336,15.375384615384649,3.60968013474246,3.691160176235924,0.8521666666666668,0.8542071428571428,0.8059613888888889,0.8228573082010583,0.71725,0.7822642857142857,0.0409605900352282,0.0228828578340043,600.8226556777954,1566.0326466560364,414.1829196413358,1057.1674858519498,282.8440148830414,532.7917917370796,100.7968175001932,288.60999938126685
623,3.319999999999993,0.7646640316205762,-2.5200000000000387,0.1458315518761637,0.019100000000000006,0.017140993788819725,-0.02679999999999999,-0.005794152781835801,1.6193899999999957,0.2704994000000003,0.0,-0.1459709062392971,0.4202421452738694,0.14119545749455664,-0.9535104248305828,0.18282834761350486,31.350000000000023,34.670000000000016,19.270000000000028,20.034664031620604,4.750000000000057,2.230000000000018,4.860135676450159,5.005967228326322,0.8510000000000001,0.8701000000000001,0.7226869565217392,0.7398279503105589,0.3535,0.3267,0.0943619379681984,0.0885677851863626,88.35947,89.97886,4.5885596,4.859059,0.0,0.0,10.74860283970361,10.602631933464313,12.87678840554348,13.297030550817349,5.6231133315436,5.764308789038156,84.59624619988236,83.64273577505178,8.811524529215973,8.994352876829478,24.352500000000028,23.760370370370406,19.186889550264578,19.3571551010718,13.488333333333363,13.849230769230791,3.336804901117777,3.1057236412415947,0.7874333333333333,0.8480285714285716,0.6967873611111113,0.7772103174603174,0.5808666666666668,0.6738666666666668,0.0712299182728469,0.0532637908672349,634.9918367862701,1567.024363040924,414.3905239701271,1016.3235543811072,257.4999315738678,482.2089531123638,112.68944493481364,301.4920456427475
624,0.3199999999999932,0.6737278911564566,-3.0600000000000023,-0.06339139386806458,0.043199999999999905,0.007351345755693517,-0.010400000000000006,0.0145918685543283,11.237517999999994,0.047054300000000104,0.0,-0.756612703221391,0.4137598170405745,0.1393102934302437,-0.8907601910682956,0.11970127697244592,30.850000000000023,31.170000000000016,19.226938775510234,19.90066666666669,4.650000000000034,1.5900000000000318,5.068825638152576,5.005434244284511,0.8661000000000001,0.9093,0.7712362318840582,0.7785875776397517,0.1267,0.1163,0.124794196923579,0.1393860654779073,79.081406,90.318924,4.6987615,4.7458158,0.0,0.0,10.858583739389964,10.101971036168573,12.639401369927045,13.05316118696762,5.552584995940187,5.69189528937043,84.62319187110572,83.73243168003742,8.613046173651984,8.73274745062443,24.65333333333337,25.76100000000003,19.831470117845143,20.226817058199828,13.406363636363665,14.500714285714311,3.863233866015377,3.7424039086453216,0.8668166666666667,0.8473785714285714,0.7799279166666668,0.7965583994708995,0.690775,0.7211222222222222,0.0528502318625765,0.0410711305761503,661.070170879364,1535.4017453193665,418.9199512004852,983.1664129630664,248.4038758277893,478.4130076169968,116.78494181280357,294.2711822314517
625,1.5400000000000205,0.7695195160922204,2.1399999999999864,0.11549284822575334,0.03369999999999995,-0.002266666666666861,-0.24509999999999998,0.0267198410597283,-7.882919999999999,-0.15817499999999995,0.0,-1.7711842100255382,0.4100762049197417,0.13664719412573945,-0.9007085293354749,0.12531048530996536,30.910000000000025,32.450000000000045,20.78240356083089,21.55192307692311,5.670000000000016,7.810000000000002,5.01771856167136,5.133211409897114,0.8524,0.8861,0.7502840579710146,0.7480173913043477,0.3145,0.0694,0.0896343742667923,0.1163542153265206,96.16905,88.28613,4.753431,4.595256,0.0,0.0,11.110572392703798,9.33938818267826,12.391792617415614,12.801868822335356,5.474084707846133,5.610731901971873,84.52463295376441,83.62392442442894,8.223106374022798,8.348416859332763,26.372857142857168,26.990800000000025,21.35380158730161,21.87948643875832,14.973636363636398,15.270000000000024,3.834601261569326,4.170336180622345,0.8300833333333335,0.8442928571428572,0.7267041666666666,0.7247085978835979,0.6028000000000001,0.6255222222222223,0.064878121178399,0.0551404436969715,688.8602645397186,1592.4424748420715,434.7683278222879,969.0292174029164,233.28344357013705,537.9939092695713,121.80293205415596,318.9882720132183
631,0.9200000000000159,0.8701157278932037,-3.480000000000018,0.1257385543687679,0.030200000000000005,0.01633146997929613,-0.14089999999999997,-0.008106998309335499,-11.469393999999994,0.07824730000000013,0.0,-1.3526539291618036,0.46798148202012513,0.16724978853082728,-1.0563151781384903,0.10942418410599597,33.03000000000003,33.950000000000045,21.81101492537315,22.681130653266354,8.950000000000045,5.470000000000027,5.187585195826359,5.313323750195127,0.7948000000000001,0.8250000000000001,0.7163971014492754,0.7327285714285715,0.4477,0.3068,0.0681389436649269,0.0600319453555914,81.45602,69.986626,4.569196,4.6474433,0.0,0.0,10.677388223243264,9.32473429408146,12.10841701558912,12.576398497609246,5.359810573488378,5.527060362019205,84.48967897776684,83.43336379962835,7.392710690099844,7.50213487420584,27.11000000000002,27.49583333333336,22.04038997114,22.412082868301315,15.179090909090949,15.591538461538487,4.169076452555959,4.202093371211085,0.8758333333333334,0.8898642857142857,0.8113544444444446,0.8357679894179894,0.7546,0.7243777777777779,0.0359214002380407,0.0410362967185418,602.483386516571,1783.3058490753174,425.15050172805786,986.025170347731,217.91955161094663,512.2768772691488,110.89124920059372,359.3003357508245
