UA,Lat,Long,anom_lst_max,anom_lst_mean,anom_lst_min,anom_lst_sd,anom_ndvi_max,anom_ndvi_mean,anom_ndvi_min,anom_ndvi_sd,anom_prec_max,anom_prec_mean,anom_prec_min,anom_prec_sd,anom_rad_mean,anom_rad_sd,anom_umid_mean,anom_umid_sd
172,-28.080691,-48.960733,0.5,0.5268753100015147,0.9799999999999631,0.21606021780737272,0.05410000000000004,0.025044099378882412,0.2777,-0.019594098742895402,-22.403329999999997,-0.4439663999999999,0.0,-2.7387460139945006,0.4279629014575903,0.18777259059984353,-1.8429285910356157,0.807335847875736
173,-28.079961,-48.869911,1.6000000000000227,0.6894652738565412,-3.839999999999975,0.12959747397193322,0.017799999999999927,0.01638240165631455,0.18860000000000002,-0.024485770878230194,8.820509999999999,-0.5742614000000001,0.0,-2.3416813971766413,0.4224569451902731,0.1964717833704217,-1.5701777254526803,0.5449302618226417
174,-28.079979,-48.780013,2.0400000000000205,0.7513616653879396,3.0600000000000023,0.17700401595775528,0.008099999999999996,0.018181573498964987,0.2539,-0.030898926477728593,-7.008989999999997,-0.5485837,0.0,-1.96230437762242,0.41460150902932114,0.203369880697168,-1.0500423729001795,0.2948355885641991
175,-28.080009,-48.690006,2.3799999999999955,0.7405125523012259,2.1000000000000227,0.1804938409062622,0.02440000000000009,0.01829523809523803,0.43900000000000006,-0.042795124624031296,3.5109500000000082,-0.5677394000000007,0.0,-2.0270201634719456,0.40340852983023545,0.1993976771908521,-0.5384334361826291,0.24974429828824185
177,-27.990802,-50.758215,1.5399999999999636,1.3227927927927503,3.6999999999999886,-0.021988022552971387,0.014800000000000035,0.02725734989648021,-0.023499999999999965,-0.0025909036889172968,10.745620000000002,0.5575970000000003,0.0,0.7781621049398506,0.45248563871829717,0.2645523536894263,-1.1787450515209486,1.0124019619434552
188,-27.990133,-49.767671,1.7199999999999669,0.9343698858853884,-2.7800000000000296,0.29642524965525396,-0.0024999999999999467,0.004042028985507651,-0.3375,0.009389988763053303,-4.965623999999991,-0.05788299999999946,0.0,-0.9216875243295419,0.4274545957229936,0.22480979402851275,-0.7224201054618646,0.18847728046303835
191,-28.012936,-49.491881,0.4600000000000364,1.2280453625274639,-1.3000000000000114,0.09133087630601278,0.014900000000000024,0.01876790890269142,0.06159999999999999,-0.022436715074915903,-45.527969999999996,-0.2908950000000008,0.0,-2.0740332892268256,0.4414449748385021,0.1917748202832641,-1.0129862904250047,0.35407328842434715
192,-27.992173,-49.41219,1.1200000000000045,1.1325071486927953,-1.4200000000000155,0.1536214423612723,0.027899999999999925,0.02388012422360286,0.22960000000000008,-0.03737463036493589,22.900394000000006,-0.3459759,0.0,-1.737553202959072,0.44730456121486917,0.18463094298484695,-1.118404012462591,0.36742561760377423
193,-27.988858,-49.320053,0.10000000000002274,1.035407133692562,0.6800000000000068,-0.08251174668855299,0.009299999999999975,0.020932091097308203,0.0681,-0.007880883349437998,1.628789999999995,-0.38722860000000026,0.0,-1.6797373080036024,0.4478520020664014,0.1865601816091802,-1.2884567411010153,0.4468040203015837
194,-27.98959,-49.230917,-0.3199999999999932,0.8668628058916354,-4.5,-0.11422650853766214,0.04239999999999999,0.027670186335403857,-0.11849999999999994,0.0084608187179568,-8.910793999999996,-0.4412598000000001,0.0,-1.9938414553041586,0.4478520020664014,0.1865601816091802,-1.2884567411010153,0.4468040203015837
196,-27.98904,-49.048792,-0.0999999999999659,0.616637012538451,-4.8799999999999955,0.1620149657336727,0.03849999999999998,0.024893995859213147,0.19319999999999998,-0.028717026407241206,-25.856439999999992,-0.526573,0.0,-2.302702267049705,0.44128492495532257,0.19560145648537564,-1.5601651260821399,0.595417751304141
197,-27.993877,-48.9599,0.060000000000002274,0.5910233552824842,-1.8799999999999955,0.16293507439902744,0.019199999999999995,0.03259979296066262,0.4011,-0.0389172672920307,-32.58354,-0.5462599999999993,0.0,-2.6357714895461193,0.43732580992327286,0.20225787919813953,-1.451383492170038,0.5726862970659683
198,-27.990081,-48.869688,1.6800000000000068,0.774333449680018,-1.579999999999984,0.10128274685966776,0.01430000000000009,0.028970393374741166,0.5492,-0.059960630075502105,-9.585560000000001,-0.6164717,0.0,-2.2576612012869113,0.4333920208050319,0.2085721755619625,-1.1935287563386794,0.481693196309112
199,-27.989878,-48.77991,0.6599999999999682,0.7823587695948113,-0.36000000000001364,0.22733502077454215,0.005300000000000082,0.015251759834368439,0.301,-0.039238628254312,-9.268050000000002,-0.5768329999999997,0.0,-2.5142969482710775,0.43060770156901285,0.21588949755901954,-0.8908417786201852,0.3782863340946312
206,-27.901381,-50.579514,1.160000000000025,1.2041452934662082,0.020000000000038654,-0.05479878263252491,0.04479999999999995,0.008851345755693685,-0.16859999999999997,0.004460094951443894,22.829634,0.4442972999999997,0.0,0.4737973537123157,0.4171355611848888,0.26050385273654353,-1.047650376378769,0.7900229817249311
