Unnamed: 0,UA,sorensen,bray_curtis,legendre,podani,n_especies_ingresso,n_especies_egresso,abundancia_ingresso,abundancia_egresso,abund_total_c1,abund_total_c2,taxa_rel_ingresso,taxa_rel_egresso,taxa_rel_ingresso_pct,taxa_rel_egresso_pct,ganho_liquido_especies,ganho_liquido_individuos,taxa_liquida_abund_pct,PD,MPD,MNTD,q0_riqueza_c1,q1_shannon_c1,q2_simpson_c1,q0_riqueza_c2,q1_shannon_c2,q2_simpson_c2,diff_q0,diff_q1,diff_q2,ganho_liquido,trajetoria,PD_ciclo1,MPD_ciclo1,MNTD_ciclo1,PD_ciclo2,MPD_ciclo2,MNTD_ciclo2,PD_delta,MPD_delta,MNTD_delta
28,1073,0.1153846153846153,0.2015503875968992,0.1153846153846153,0.2015503875968992,6,6,6,8,142,116,0.0517241379310344,0.056338028169014,5.172413793103448,5.633802816901409,0,-2,-0.4613890237979605,3594.890085999,235.23216045923755,93.69580423086538,52,38.4001924351857,29.13872832369941,52,37.9998347408515,27.12903225806451,0,-0.400357694334204,-2.009696065634909,-2,Declínio,3594.890085999,235.23216045923755,93.69580423086538,3830.774011999,274.94114086949395,92.45941675009615,235.883926,39.7089804102564,-1.236387480769224
29,1074,0.0655737704918032,0.0817941952506596,0.0655737704918032,0.0817941952506596,6,2,7,2,181,198,0.0353535353535353,0.011049723756906,3.535353535353535,1.1049723756906076,4,5,2.4303811596629274,3983.016041996,238.2199335463285,94.11941994908474,59,40.50821441880623,29.17275155832592,63,42.16693528804057,29.344311377245507,4,1.6587208692343367,0.1715598189195937,5,Regeneração,3983.016041996,238.2199335463285,94.11941994908474,4210.548590896,237.85883144267893,91.54122942209524,227.53254890000017,-0.3611021036495572,-2.578190526989502
30,113,0.0967741935483871,0.0642673521850899,0.0967741935483871,0.0642673521850899,1,2,1,3,202,187,0.0053475935828877,0.0148514851485148,0.53475935828877,1.4851485148514851,-1,-2,-0.9503891565627152,1972.349821,340.054570075,130.711889,16,7.4840193502820656,5.293720809548521,15,7.417252142531043,5.2561250563655495,-1,-0.0667672077510221,-0.0375957531829715,-2,Declínio,1972.349821,340.054570075,130.711889,1836.874125,345.1006416571429,117.37033333333332,-135.47569599999997,5.046071582142872,-13.341555666666691
31,114,0.1764705882352941,0.0541871921182266,0.1764705882352941,0.0541871921182266,1,2,1,2,98,105,0.0095238095238095,0.0204081632653061,0.9523809523809524,2.0408163265306123,-1,-1,-1.0884353741496595,1481.9705740000002,403.7259219444445,199.9378213333333,9,2.7219685043620925,1.750637987604812,8,2.733839535646548,1.7947257040533944,-1,0.0118710312844552,0.0440877164485824,-1,Estagnação,1481.9705740000002,403.7259219444445,199.9378213333333,1424.359415,423.3313975,225.769120375,-57.61115900000027,19.605475555555472,25.83129904166671
32,117,0.0428571428571428,0.0852534562211981,0.0428571428571428,0.0852534562211981,3,3,4,4,286,295,0.0135593220338983,0.0139860139860139,1.3559322033898304,1.3986013986013983,0,0,-0.042669195211568,5206.741230003,282.9755924191333,95.45241475727144,70,40.50563124327669,25.868437697659704,70,42.05326268517842,26.884460920605505,0,1.5476314419017283,1.016023222945801,0,Estagnação,5206.741230003,282.9755924191333,95.45241475727144,5242.149236003,280.73159869656604,97.22296671441428,35.40800599999966,-2.243993722567268,1.7705519571428423
33,118,0.079136690647482,0.1138790035587188,0.079136690647482,0.1138790035587188,6,5,6,6,289,273,0.0219780219780219,0.0207612456747404,2.197802197802198,2.0761245674740483,1,0,0.1216776303281497,4714.660146006,309.85366696948336,87.73298429015942,69,31.09784345339102,15.56775396085741,70,33.25767466763632,17.417387240009347,1,2.159831214245294,1.8496332791519376,0,Estagnação,4714.660146006,309.85366696948336,87.73298429015942,4509.670557006,305.51450270948817,81.85011794311428,-204.9895889999998,-4.3391642599951865,-5.8828663470451374
34,1187,0.0930232558139534,0.0923725565350709,0.0930232558139534,0.0923725565350709,5,3,5,3,212,224,0.0223214285714285,0.0141509433962264,2.232142857142857,1.4150943396226416,2,2,0.8170485175202156,3580.0392969960003,244.02037001606968,118.98271730933332,42,20.402605599659207,12.01068947087119,44,21.577749901360697,12.845878136200716,2,1.17514430170149,0.8351886653295271,2,Regeneração,3580.0392969960003,244.02037001606968,118.98271730933332,3667.874388996,243.78150541208032,113.43548390890908,87.8350919999998,-0.2388646039893558,-5.547233400424247
35,119,0.2682926829268293,0.3741229301150715,0.2682926829268293,0.3741229301150715,7,15,17,26,384,221,0.0769230769230769,0.0677083333333333,7.6923076923076925,6.770833333333333,-8,-9,0.9214743589743596,3546.150754899,266.2730090219757,101.57581179106668,45,17.565478343690405,10.11358024691358,37,15.4476435694433,8.804939606994772,-8,-2.117834774247104,-1.3086406399188082,-9,Declínio,3546.150754899,266.2730090219757,101.57581179106668,3230.1242398992,298.2993013359928,91.49338120536216,-316.0265149998,32.0262923140171,-10.082430585704529
36,1191,0.0704225352112676,0.082051282051282,0.0704225352112676,0.082051282051282,3,2,3,3,187,203,0.0147783251231527,0.0160427807486631,1.477832512315271,1.6042780748663104,1,0,-0.1264455625510394,2858.3861149960003,240.64599239548664,109.91195211741176,35,19.90523115227533,13.161083929243508,36,19.457896424082165,13.02845399936769,1,-0.4473347281931694,-0.1326299298758169,0,Estagnação,2858.3861149960003,240.64599239548664,109.91195211741176,2890.593134996,240.73908246363692,104.54793599977144,32.20701999999983,0.0930900681503033,-5.364016117640318
37,1195,0.0793650793650793,0.2760736196319018,0.0793650793650793,0.2760736196319018,4,1,4,1,214,275,0.0145454545454545,0.0046728971962616,1.4545454545454546,0.4672897196261681,3,3,0.9872557349192864,2757.648865,266.0696149218391,124.09617223333332,30,13.87134636020863,8.739694656488549,33,15.77879793889046,9.879163945133902,3,1.9074515786818296,1.139469288645353,3,Regeneração,2757.648865,266.0696149218391,124.09617223333332,2907.7258540000003,262.86729801136363,119.47220451515152,150.07698900000014,-3.2023169104754743,-4.623967718181802
38,122,0.0666666666666666,0.0909090909090909,0.0666666666666666,0.0909090909090909,3,1,3,1,185,200,0.015,0.0054054054054054,1.5,0.5405405405405406,2,2,0.9594594594594594,2405.001710899,243.3822497728374,84.69502546889656,29,16.532833120772484,11.896072297532148,31,15.24785889266328,9.407337723424272,2,-1.2849742281092045,-2.488734574107875,2,Regeneração,2405.001710899,243.3822497728374,84.69502546889656,2575.578480899,243.48974348337632,89.03725482574194,170.57677000000012,0.107493710538904,4.34222935684538
39,123,0.0891089108910891,0.1895614353026459,0.0891089108910891,0.1895614353026459,9,0,9,0,199,266,0.0338345864661654,0.0,3.3834586466165413,0.0,9,9,3.3834586466165413,4111.899762003,288.1511939421594,111.9637961957174,46,28.33949324104672,19.970247100353,55,34.26008413168955,23.32102834541859,9,5.920590890642831,3.3507812450655905,9,Regeneração,4111.899762003,288.1511939421594,111.9637961957174,4458.124810899,281.6645141452835,98.03378139263636,346.22504889599986,-6.486679796875933,-13.93001480308105
