UA,PD_ciclo1,MPD_ciclo1,MNTD_ciclo1,PD_ciclo2,MPD_ciclo2,MNTD_ciclo2,PD_delta,MPD_delta,MNTD_delta
166,1677.528326,300.5513485384615,189.51818361538463,1658.5573410000002,298.505393974359,186.9180953076923,-18.970984999999928,-2.0459545641025443,-2.6000883076923174
167,2023.756673,267.2172742055336,100.69824908695652,2245.901621,267.6582922466667,109.05475752,222.14494799999989,0.4410180411330771,8.356508433043473
170,4378.3216819022,264.1116438700395,110.85310982278114,4377.9033799022,279.20917651060347,85.03474501065614,-0.4183020000000397,15.097532640563998,-25.818364812124997
172,3353.837714896,245.1824768824878,105.40490030712196,3113.161175896,244.5531944973713,101.859449884,-240.67653900000005,-0.629282385116511,-3.545450423121963
174,3889.301937999,286.8855935951973,90.57634546942856,3871.382953902,285.21223967364705,79.14167342366666,-17.918984097000248,-1.6733539215502446,-11.4346720457619
175,3589.364569899,292.2781926778987,103.500229965025,3903.311492899,288.0029809532889,105.0904682578,313.94692299999997,-4.27521172460979,1.5902382927749983
177,2675.250136,290.54395004761903,109.69930421428572,2662.148178,289.0318165343915,108.76345007142858,-13.101958000000195,-1.5121335132275249,-0.9358541428571385
1770,3640.250325999,238.1962186327049,106.04128638302129,3896.431779999,238.58118001383755,107.97169240004,256.18145400000003,0.3849613811326549,1.9304060170187114
1774,2432.270529996,238.2632223145291,106.50225417842856,2238.1749600000003,234.28907661538463,107.32627942307693,-194.09556999599954,-3.974145699144458,0.824025244648368
188,2149.310647,274.0177942337662,124.33185113636364,2057.582515,279.9488044736842,115.7740023,-91.72813199999973,5.93101023991801,-8.557848836363632
191,2208.428575,271.4654675724637,114.26930654166668,2412.694225,269.0680128262108,112.5022144074074,204.26565000000028,-2.3974547462528903,-1.7670921342592862
192,1789.616404,300.3538503626374,179.10652357142857,1675.498645,322.7188480363637,227.70698781818183,-114.1177590000002,22.364997673726293,48.60046424675326
193,1662.987204,303.7507258974359,174.6876763846154,1756.2206520000002,299.6506755604396,175.29335707142857,93.23344800000018,-4.100050336996333,0.605680686813173
194,4127.5560450092,321.39023422656595,104.51165881669796,4386.1262590092,316.2572488450496,104.45334598147548,258.5702140000003,-5.132985381516335,-0.05831283522248043
1959,3733.251353,262.9811909195122,131.54261487804877,3651.031449,264.51060421410256,129.1240882,-82.21990400000004,1.5294132945903698,-2.418526678048778
1961,3350.531883996,291.589218590888,98.24368248707692,3336.288883996,286.74798232965856,87.25537669038096,-14.242999999999938,-4.841236261229426,-10.988305796695968
1965,3158.796747,273.65857426136364,136.41647439393938,3554.98689,268.7448572442645,124.4420142051282,396.19014300000026,-4.913717017099145,-11.974460188811179
1970,1998.548452996,240.2641678914113,115.63300477236363,2160.1417059960004,240.56684451968,98.25762403968,161.59325300000046,0.30267662826869923,-17.375380732683638
199,5035.996800003,286.82804654897785,91.15375364797184,5094.574522,282.6775694631579,84.94402978947369,58.57772199699957,-4.150477085819944,-6.209723858498151
2001,2250.289612996,277.1894069615238,140.12576185695238,2819.583541996,399.8102106083479,155.43400630417392,569.2939289999999,122.62080364682413,15.30824444722154
206,2426.717731,262.27223920307694,128.0142806923077,2553.346676,260.1254793386244,123.25671014285714,126.62894499999993,-2.1467598644525197,-4.7575705494505485
208,2788.5128795,291.7510184873563,111.34823256666668,2788.5128795,291.7510184873563,111.34823256666668,0.0,0.0,0.0
21,4112.945729399,261.9265734491593,98.94163812212965,4283.608478503,277.55349223096084,86.2656110678983,170.6627491039999,15.626918781801521,-12.67602705423134
211,2946.293409,287.8367289548387,112.15279225806452,2845.137599,289.1775115241379,114.8733002,-101.15580999999975,1.340782569299222,2.7205079419354803
214,1418.062008,244.20229048484848,140.72968516666666,1470.010635,245.5398383333333,159.3474855,51.94862699999999,1.3375478484848315,18.61780033333335
217,2074.90792,234.92750535692304,75.55866738461539,1941.661815,232.53781981333333,73.86639892000001,-133.24610500000017,-2.3896855435897066,-1.6922684646153812
2179,2656.572145999,239.98424869348588,104.7022728125625,2731.2761019990003,236.53200151130304,105.8177785151212,74.70395600000029,-3.4522471821828447,1.115505702558707
218,3026.543079,271.59525148817204,136.21294596774192,3273.438877,273.87419868939395,134.83686724242423,246.895798,2.2789472012219107,-1.376078725317683
2194,2963.894076996,234.2801909571152,96.38064947357894,3396.076130996,234.83703087456968,92.67952119991112,432.1820539999999,0.5568399174544822,-3.7011282736678197
221,4241.386629506,274.2825936619453,79.70904859040984,4620.081927506,269.9737018616402,74.9215518407971,378.69529800000055,-4.308891800305105,-4.7874967496127425
2216,2551.431711996,241.61919128892308,137.71696907676923,2710.775999996,239.2497381928368,121.30812019986666,159.34428799999978,-2.369453096086289,-16.408848876902567
225,2546.7964485,281.2626111277311,82.16245925714286,2522.8121295,282.8757704741533,87.85376699999999,-23.98431900000014,1.6131593464222078,5.691307742857134
228,2092.316729003,298.4477260591765,180.13931805935297,2147.900784003,293.41312894768424,149.129937211,55.58405499999981,-5.034597111492246,-31.009380848352976
23,2760.615956899,242.2151053774048,95.1554770998611,2883.877934899,243.03757453024608,93.77285083144736,123.261978,0.8224691528412791,-1.3826262684137447
2310,3767.459476996,267.97529109082564,132.2357420998,3206.367763,271.0307075037879,138.7990598787879,-561.0917139959997,3.055416412962245,6.56331777898788
2406,2617.880057996,239.11031438134253,111.39264939986668,3093.771543996,237.62651218897295,110.24590562151351,475.89148600000044,-1.4838021923695806,-1.1467437783531693
242,1716.010463,274.1652394117648,125.51708382352942,2222.450036,267.8301490434783,126.9477575,506.4395730000001,-6.335090368286501,1.430673676470576
2425,3248.332014996,240.70879881629017,112.60199273673685,3295.2788329960003,240.285295762278,109.36964510246152,46.94681800000035,-0.4235030540121727,-3.232347634275328
246,2559.566177,240.00919254679803,111.7963004137931,3229.208822,273.0877477932264,128.7484277647059,669.6426449999999,33.07855524642838,16.95212735091279
249,2530.845642,243.23233398,153.7607234,2626.786322,240.93821065527064,146.18231996296296,95.9406799999997,-2.2941233247293553,-7.578403437037025
251,3032.885141003,272.8591241894409,135.82006051632257,3191.915934003,270.9321553676061,134.33504615169696,159.0307929999999,-1.9269688218348051,-1.4850143646256129
2530,2532.662541996,232.37942848384125,127.79345774985714,2694.128128996,232.88023036525053,126.3386885332,161.46558700000014,0.5008018814092736,-1.4547692166571409
254,3081.4248700030003,286.9997553855122,81.44735317095122,3445.7745385030003,277.8492067441701,81.80951128589795,364.3496685,-9.150548641342084,0.36215811494673744
260,2791.270709,267.4993161970443,128.85728124137933,3078.059241,268.5886810150538,139.15415829032258,286.78853200000003,1.0893648180094715,10.296877048943259
261,1412.8970900000002,239.00533050909087,182.4483403636364,857.5729840000001,246.8832412,224.70149440000003,-555.324106,7.877910690909118,42.25315403636364
2623,2252.0719549960004,234.1634856240529,93.06772228557142,2821.124990996,236.0543735111212,110.10484790896967,569.0530359999998,1.8908878870683168,17.037125623398254
2645,2979.459924996,239.0570606165205,119.0644127057647,3003.4497519960005,238.734121673721,113.09265902845712,23.989827000000332,-0.32293894279948177,-5.971753677307575
27,2599.808716899,277.3272315207236,124.33001157792592,2482.132262899,275.5415724153105,107.70479020744445,-117.67645399999992,-1.7856591054131172,-16.62522137048147
279,2584.454943,238.146114511828,101.88486512903224,3339.981102996,264.8253407203128,110.8497891499,755.5261599959999,26.679226208484806,8.96492402086777
28,4017.057117402,317.4584237622276,82.5959675564909,3892.914938902,319.6888878591466,80.09017910579246,-124.14217850000023,2.230464096918979,-2.5057884506984465
281,2972.769429999,277.2346513246667,123.88743361296774,3601.266355999,269.57914765379616,120.16364040005,628.4969260000003,-7.65550367087053,-3.723793212917741
284,4096.6241269022,308.8943744236732,94.69936192919585,4026.7345309022,309.7157737454817,92.5298103458625,-69.88959600000044,0.821399321808542,-2.1695515833333445
285,3356.330303896,324.1643847463044,98.25592551557897,3389.134978896,318.35856729697946,92.9461987398,32.804675000000316,-5.805817449324934,-5.3097267757789695
286,3371.533708,320.91189535462183,127.20575262857145,3313.735663,287.5425303363363,130.55618732432433,-57.798045,-33.36936501828552,3.350434695752881
287,3647.338471996,292.4262934063136,113.28116866657145,3684.211151896,290.7166643093319,103.048805718,36.872679900000094,-1.7096290969817005,-10.23236294857145
